,NON,WEAK,STRONG,GENERATED,ALL
HNF-1C [T01951],0.0769593956562795,0.2138470128419877,0.21792260692464357,0.2025,0.16395710826703563
PXR-1:RXR-alpha [T05671],0.21199244570349388,0.19262981574539365,0.15410726408689748,0.185,0.18938083708059494
NFI/CTF [T00094],0.2544853635505194,0.1407035175879397,0.1384928716904277,0.2575,0.18989968868903492
NF-Y [T00150],0.20585457979225685,0.20268006700167504,0.21656483367277665,0.3025,0.21428571428571427
TCF-4E [T02878],0.24598677998111426,0.22389726409826913,0.18601493550577053,0.21,0.22137668626772744
IRF-1 [T00423],0.19971671388101983,0.23059743160245672,0.27494908350305497,0.2425,0.23140781736423383
T3R-beta1 [T00851],0.3040604343720491,0.21049692908989392,0.18805159538357094,0.155,0.2352127291594604
GATA-2 [T00308],0.25401322001888577,0.25125628140703515,0.2219959266802444,0.17,0.23919059149083363
HNF-3alpha [T02512],0.05996222851746931,0.4360692350642099,0.33129667345553293,0.2725,0.2602905569007264
VDR [T00885],0.3314447592067989,0.2730318257956449,0.17990495587236932,0.25,0.2691110342442062
c-Myb [T00137],0.3380547686496695,0.248464544946957,0.2355736591989138,0.3425,0.2845036319612591
ER-alpha [T00261],0.40557129367327666,0.21608040201005024,0.23150033944331297,0.2475,0.29159460394327225
E2F-1 [T01542],0.37440982058545796,0.2367392518146287,0.25390359809911744,0.255,0.29280525769629884
GCF [T00320],0.5816808309726157,0.23059743160245672,0.18805159538357094,0.24,0.34901418194396405
Pax-5 [T00070],0.45656279508970726,0.2853154662199888,0.31093007467752887,0.315,0.35662400553441714
PR B [T00696],0.2667610953729934,0.49413735343383586,0.4921928038017651,0.44,0.4066067104808025
PR A [T01661],0.2667610953729934,0.49413735343383586,0.4921928038017651,0.44,0.4066067104808025
HNF-1A [T00368],0.2724268177525968,0.4879955332216639,0.49015614392396467,0.4825,0.4092009685230024
GR [T05076],0.330028328611898,0.48408710217755446,0.4983027834351663,0.53,0.4344517468004151
c-Jun [T00133],0.4707271010387158,0.4807370184254606,0.49762389680923286,0.5375,0.4852992044275337
ENKTF-1 [T00255],0.8314447592067988,0.4712451144611949,0.3231500339443313,0.2975,0.5534417156693185
p53 [T00671],0.7445703493862134,0.486320491345617,0.4650373387644263,0.4925,0.5759252853683846
XBP-1 [T00902],0.660056657223796,0.6186487995533222,0.5784114052953157,0.535,0.6177793151158769
TFII-I [T00824],0.6227573182247403,0.620323841429369,0.6564833672776647,0.6125,0.6298858526461432
RXR-alpha [T01345],0.7025495750708215,0.5488553880513679,0.6252545824847251,0.7,0.635074368730543
c-Ets-1 [T00112],0.8725212464589235,0.6778336125069794,0.7345553292600135,0.7625,0.7694569353164995
AP-2alphaA [T00035],1.0023607176581681,0.7805695142378559,0.7671418873048201,0.7775,0.8581805603597371
TFIID [T00820],0.5089707271010387,1.2266890005583473,1.230142566191446,1.0825,0.9546869595295745
YY1 [T00915],1.1232294617563738,0.9921831379117811,0.9063136456211812,1.02,1.0202352127291594
STAT4 [T01577],1.1652502360717658,0.948073701842546,0.9796334012219959,1.1225,1.0477343479764787
FOXP3 [T04280],1.048158640226629,1.2015633724176438,1.230142566191446,1.235,1.1549636803874093
GATA-1 [T00306],1.0642115203021718,1.245672808486879,1.2226748133061778,1.155,1.1670702179176755
C/EBPalpha [T00105],0.9065155807365439,1.3729759910664434,1.328581126951799,1.23,1.1809062608094085
GR-alpha [T00337],1.2294617563739376,1.6046901172529313,1.6822810590631365,1.5375,1.4823590453130404
C/EBPbeta [T00581],3.2256846081208685,3.7749860413176997,3.7481330617786828,3.9225,3.5771359391214115
GR-beta [T01920],2.723796033994334,4.293132328308208,4.249151391717583,3.875,3.678139052231062
