FACTOR,HUMAN_CODING,HUMAN_CODING_GENERATED,HUMAN_CODING_GENERATED_NEW,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER
ZNF135,0.7831184056271981,0.582,0.8947368421052632,0.5915312232677502,0.7243806306306306,0.5510403120936281,0.5224592018096623
NFIL3,0.7828253223915592,1.3955,0.5789473684210527,1.5260906757912749,0.7243806306306306,1.399219765929779,2.2491517207949587
GATA2,0.772567409144197,1.279,0.8421052631578947,1.3417450812660394,0.7088963963963963,1.3042912873862158,1.844724511229601
HOXB7,0.7719812426729191,1.212,0.631578947368421,1.186911890504705,0.8212274774774775,1.2269180754226268,1.5785264178380998
CEBPA,0.7634818288393904,1.1385,0.631578947368421,1.3006843455945252,0.7204391891891891,1.23667100130039,1.8342220067862336
DPRX,0.7584994138335287,1.1595,1.0526315789473684,1.31437125748503,0.7232545045045045,1.23407022106632,1.9120213281628693
SNAI3,0.7549824150058617,0.702,0.8421052631578947,0.7493584260051326,0.7094594594594594,0.8429778933680104,0.7694296332202294
OLIG3,0.7520515826494725,0.966,0.7368421052631579,1.0530367835757055,0.7567567567567568,1.1267880364109233,1.6724026498626596
HES6,0.7497069167643611,0.707,0.8947368421052632,0.6770744225834047,0.7598536036036037,0.7230169050715215,0.5482307319437713
ZNF784,0.7473622508792497,0.7645,0.7894736842105263,0.7694610778443114,0.7252252252252253,0.8351755526657998,0.718048149943448
HOXA3,0.7473622508792497,1.075,0.15789473684210525,1.1629597946963215,0.7660472972972973,1.046814044213264,1.4705929875585717
ELF4,0.7420867526377491,0.5195,0.21052631578947367,0.4696321642429427,0.9431306306306306,0.4804941482444733,0.2530295685894329
MNX1,0.7359320046893317,1.083,0.9473684210526315,1.295551753635586,0.7668918918918919,1.17815344603381,1.7915656810470189
MSX2,0.7327080890973037,1.2265,0.6842105263157895,1.223267750213858,0.7438063063063063,1.0692457737321197,1.5332848602359024
